,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,local_lat,local_long,dest_lat,dest_long,time arround car,time arround walk,time arround bike,length arround car,length arround walk,length arround bike,time bridge one walk,time bridge one bike,length bridge two walk,length bridge two bike,location type,destination type,time bridge two walk,time bridge two bike,length bridge one walk,length bridge one bike
65,65,65,65,39.072,-77.12980556,39.06819444,-77.12986111,237.9,1135.4,353.3,1613.2,1577.0,1674.6,1129.0,573.6,1735.8,1787.5,house block,restaurants,1249.8000000000002,434.29999999999995,1568.1,1559.0
66,66,66,66,39.072,-77.12980556,39.06819444,-77.12986111,237.9,1135.4,353.3,1613.2,1577.0,1674.6,1129.0,573.6,1735.8,1787.5,house block,restaurants,1249.8000000000002,434.29999999999995,1568.1,1559.0
67,67,67,67,39.072,-77.12980556,39.07113889,-77.13161111,225.3,859.6,265.9,1308.0,1193.9,1288.2,968.1,530.6999999999999,2069.9,2101.4,house block,services,1490.3000000000002,509.5,1344.7,1345.7
68,68,68,68,39.072,-77.12980556,39.07077778,-77.13283333,214.3,884.6,275.1,1274.9,1228.7,1343.6,1032.2,548.6999999999999,2144.4,2191.3,house block,restaurants,1543.9,527.5999999999999,1433.6,1435.6
69,69,69,69,39.072,-77.12980556,39.07266667,-77.13333333,205.9,689.4,208.9,1044.6,957.5,1044.5,1120.6,579.5,2280.2,2313.1,house block,restaurants,1641.7,558.3,1556.4,1557.4
70,70,70,70,39.072,-77.12980556,39.07347222,-77.13411111,186.2,608.8,187.0,935.2,845.6,935.1,1201.1,601.8,2392.1,2425.0,house block,restaurants,1722.3000000000002,580.7,1668.3,1669.3
71,71,71,71,39.072,-77.12980556,39.07405556,-77.13602778,177.1,546.9,153.9,769.3,759.5,769.7,1349.4,652.5,2587.0,2678.3999999999996,house block,health,1862.6000000000001,631.4,1874.2,1922.7
72,72,72,72,39.072,-77.12980556,39.07461111,-77.13763889,212.2,729.6,199.3,996.4,1013.4,996.3,1549.8000000000002,706.8,2864.3999999999996,2927.3,house block,mall,2062.3,685.5999999999999,2152.5,2171.5
73,73,73,73,39.072,-77.12980556,39.06436111,-77.12802778,300.1,1527.5,508.9,2181.6,2121.6,2371.1,1519.8000000000002,729.2,1600.0,1617.5,house block,restaurants,1152.0,403.5,2110.8,2255.4
74,74,74,74,39.072,-77.12980556,39.06236111,-77.12625,318.2,1591.0,563.8,2451.9,2209.8,2237.7,1708.4,806.3,1775.6999999999998,2002.6999999999998,house block,restaurants,1278.5,480.5,2372.8,2640.6
75,75,75,75,39.072,-77.12980556,39.05755556,-77.12277778,380.7,1688.6,602.9,3138.2,2345.3,2355.3,2166.6,972.2,2412.1,2832.5,house block,restaurants,1736.7,646.5,3009.2,3470.4
76,76,76,76,39.072,-77.12980556,39.05441667,-77.11891667,397.6,1908.8,663.7,3480.5,2651.1,2703.0,2456.5,1127.8,2814.7,3575.8999999999996,house block,restaurants,2026.6000000000001,802.0,3411.8,4213.9
77,77,77,77,39.072,-77.12980556,39.05738889,-77.11919444,372.7,1656.8,620.7,3158.8,2301.1,2481.0,2207.4,1051.1,2468.8999999999996,3197.7,house block,restaurants,1777.6,725.4,3066.0,3835.6
78,78,78,78,39.072,-77.12980556,39.06419444,-77.12419444,321.4,1615.8,587.9,2548.0,2244.2,2313.7,1634.3000000000002,851.7,1672.9,2002.5,house block,restaurants,1204.4,526.0,2269.9,2640.4
79,79,79,79,39.072,-77.12980556,39.07461111,-77.13763889,212.2,729.6,199.3,996.4,1013.4,996.3,1549.8000000000002,706.8,2864.3999999999996,2927.3,house block,restaurants,2062.3,685.5999999999999,2152.5,2171.5
80,80,80,80,39.072,-77.12980556,39.07425,-77.13766667,202.6,688.7,190.4,952.3,956.5,952.3,1518.1,698.0,2820.3,2883.2,house block,groceries,2030.6000000000001,676.8,2108.5,2127.5
81,81,81,81,39.072,-77.12980556,39.06494444,-77.12786111,285.0,1465.7,491.8,2071.7,2035.7,2285.3,1458.0,712.0999999999999,1514.1999999999998,1531.6999999999998,house block,groceries,1090.2,386.29999999999995,2025.0,2169.6
82,82,82,82,39.072,-77.12980556,39.06202778,-77.12686111,332.5,1636.3,576.2,2515.3,2272.7,2300.0,1753.0,818.2,1837.6999999999998,2062.4,house block,groceries,1323.1,492.5,2434.8,2700.3
83,83,83,83,39.072,-77.12980556,39.07508333,-77.11530556,243.9,1217.4,343.9,1691.8,1690.9,1697.0,2832.2,1098.3,4153.4,4464.8,house block,twinbrooke center mall,2990.3999999999996,1095.6999999999998,3933.7,4143.9
84,84,84,84,39.072,-77.12980556,39.07508333,-77.11530556,243.9,1217.4,343.9,1691.8,1690.9,1697.0,2832.2,1098.3,4153.4,4464.8,house block,twinbrooke center restaurant,2990.3999999999996,1095.6999999999998,3933.7,4143.9
85,85,85,85,39.072,-77.12980556,39.07508333,-77.11530556,243.9,1217.4,343.9,1691.8,1690.9,1697.0,2832.2,1098.3,4153.4,4464.8,house block,twinbrooke center groceries,2990.3999999999996,1095.6999999999998,3933.7,4143.9
86,86,86,86,39.072,-77.12980556,39.06461111,-77.1395,454.6,1718.0,517.1,2423.8,2386.1,2493.9,1711.6,737.4,2875.8999999999996,2921.6,house block,golf,2070.6000000000004,661.5999999999999,2377.3,2378.2
87,87,87,87,39.072,-77.12980556,39.06436111,-77.12802778,300.1,1527.5,508.9,2181.6,2121.6,2371.1,1519.8000000000002,729.2,1600.0,1617.5,house block,mall,1152.0,403.5,2110.8,2255.4
88,88,88,88,39.072,-77.12980556,39.06236111,-77.12625,318.2,1591.0,563.8,2451.9,2209.8,2237.7,1708.4,806.3,1775.6999999999998,2002.6999999999998,house block,mall,1278.5,480.5,2372.8,2640.6
89,89,89,89,39.072,-77.12980556,39.05755556,-77.12277778,380.7,1688.6,602.9,3138.2,2345.3,2355.3,2166.6,972.2,2412.1,2832.5,house block,mall,1736.7,646.5,3009.2,3470.4
90,90,90,90,39.072,-77.12980556,39.05441667,-77.11891667,397.6,1908.8,663.7,3480.5,2651.1,2703.0,2456.5,1127.8,2814.7,3575.8999999999996,house block,mall,2026.6000000000001,802.0,3411.8,4213.9
91,91,91,91,39.072,-77.12980556,39.05738889,-77.11919444,372.7,1656.8,620.7,3158.8,2301.1,2481.0,2207.4,1051.1,2468.8999999999996,3197.7,house block,mall,1777.6,725.4,3066.0,3835.6
92,92,92,92,39.072,-77.12980556,39.06419444,-77.12419444,321.4,1615.8,587.9,2548.0,2244.2,2313.7,1634.3000000000002,851.7,1672.9,2002.5,house block,mall,1204.4,526.0,2269.9,2640.4
93,93,93,93,39.072,-77.12980556,39.07461111,-77.13763889,212.2,729.6,199.3,996.4,1013.4,996.3,1549.8000000000002,706.8,2864.3999999999996,2927.3,house block,mall,2062.3,685.5999999999999,2152.5,2171.5
94,94,94,94,39.072,-77.12980556,39.07461111,-77.13763889,212.2,729.6,199.3,996.4,1013.4,996.3,1549.8000000000002,706.8,2864.3999999999996,2927.3,house block,services,2062.3,685.5999999999999,2152.5,2171.5
95,95,95,95,39.072,-77.12980556,39.06436111,-77.12802778,300.1,1527.5,508.9,2181.6,2121.6,2371.1,1519.8000000000002,729.2,1600.0,1617.5,house block,services,1152.0,403.5,2110.8,2255.4
96,96,96,96,39.072,-77.12980556,39.06236111,-77.12625,318.2,1591.0,563.8,2451.9,2209.8,2237.7,1708.4,806.3,1775.6999999999998,2002.6999999999998,house block,services,1278.5,480.5,2372.8,2640.6
97,97,97,97,39.072,-77.12980556,39.05755556,-77.12277778,380.7,1688.6,602.9,3138.2,2345.3,2355.3,2166.6,972.2,2412.1,2832.5,house block,services,1736.7,646.5,3009.2,3470.4
98,98,98,98,39.072,-77.12980556,39.05441667,-77.11891667,397.6,1908.8,663.7,3480.5,2651.1,2703.0,2456.5,1127.8,2814.7,3575.8999999999996,house block,services,2026.6000000000001,802.0,3411.8,4213.9
99,99,99,99,39.072,-77.12980556,39.05738889,-77.11919444,372.7,1656.8,620.7,3158.8,2301.1,2481.0,2207.4,1051.1,2468.8999999999996,3197.7,house block,services,1777.6,725.4,3066.0,3835.6
100,100,100,100,39.072,-77.12980556,39.06419444,-77.12419444,321.4,1615.8,587.9,2548.0,2244.2,2313.7,1634.3000000000002,851.7,1672.9,2002.5,house block,services,1204.4,526.0,2269.9,2640.4
101,101,101,101,39.072,-77.12980556,39.07461111,-77.13763889,212.2,729.6,199.3,996.4,1013.4,996.3,1549.8000000000002,706.8,2864.3999999999996,2927.3,house block,services,2062.3,685.5999999999999,2152.5,2171.5
102,102,102,102,39.07072222,-77.12786111,39.06436111,-77.12802778,362.0,1654.3,553.6,2404.7,2297.6,2594.3,1680.5,773.9000000000001,1396.2,1413.7,house block,mall,1005.2,362.79999999999995,2333.8999999999996,2478.5
103,103,103,103,39.07072222,-77.12786111,39.06236111,-77.12625,380.2,1444.3,523.0,2675.0,2005.9,2033.9,1869.1,851.0,1571.9,1798.9,house block,mall,1131.7,439.79999999999995,2595.8999999999996,2863.7
104,104,104,104,39.07072222,-77.12786111,39.05755556,-77.12277778,442.6,1541.8,562.1,3361.3,2141.4,2151.4,2327.3,1016.9000000000001,2208.3,2628.7,house block,mall,1589.9,605.8,3232.3,3693.5
105,105,105,105,39.07072222,-77.12786111,39.05386111,-77.12538889,522.5,2157.3,751.2,4077.4,2996.3,3159.2,2794.3999999999996,1104.5,2870.7,3051.0,house block,school,2066.8,693.4,3881.1,4115.799999999999
106,106,106,106,39.07072222,-77.12786111,39.05447222,-77.11919444,456.3,1778.5,628.8,3189.1,2470.2,2522.1,2633.7,1178.4,2633.9,3395.2,house block,health,1896.3000000000002,767.2,3657.9,4460.0
107,107,107,107,39.07072222,-77.12786111,39.05441667,-77.11891667,452.1,1762.0,622.9,3166.1,2447.2,2499.1,2617.2,1172.5,2610.9,3372.1,house block,mall,1879.8000000000002,761.3,3634.9,4437.0
108,108,108,108,39.07072222,-77.12786111,39.05738889,-77.11919444,434.6,1510.0,579.9,3381.9,2097.2,2277.1,2368.1,1095.8000000000002,2265.1,2993.9,house block,mall,1630.8,684.7,3289.1,4058.7
109,109,109,109,39.07072222,-77.12786111,39.06422222,-77.12552778,370.3,1427.2,543.7,2715.5,1982.2,2054.1,1703.3,860.8,1341.7,1669.4,house block,health,965.9,449.6,2365.7,2734.2
110,110,110,110,39.07072222,-77.12786111,39.05975,-77.12263889,385.2,1264.7,517.8,2952.4,1756.5,2002.0,2093.2,957.6,1883.2,2269.4,house block,office,1355.8,546.5,2907.1,3334.2
111,111,111,111,39.07072222,-77.12786111,39.06419444,-77.12419444,383.3,1469.0,547.1,2771.1,2040.3,2109.8,1795.0,896.4000000000001,1469.1,1798.7,house block,mall,1057.6,485.29999999999995,2493.0,2863.5
112,112,112,112,39.07072222,-77.12786111,39.06566667,-77.12663889,334.9,1553.2,534.8,2241.6,2157.2,2411.4,1545.5,755.2,1082.3,1082.3,house block,restaurants,779.1999999999999,290.5,2146.3999999999996,2295.6
113,113,113,113,39.07072222,-77.12786111,39.06566667,-77.12663889,334.9,1553.2,534.8,2241.6,2157.2,2411.4,1545.5,755.2,1082.3,1082.3,house block,groceries,779.1999999999999,290.5,2146.3999999999996,2295.6
114,114,114,114,39.07072222,-77.12786111,39.06730556,-77.12897222,306.2,1379.3,422.9,1957.7,1915.7,2022.8,1372.9,643.3,1407.0,1455.8,house block,office,1012.9,367.9,1906.6999999999998,1907.1
115,115,115,115,39.07072222,-77.12786111,39.06808333,-77.12886111,310.2,1306.8,439.1,1907.4,1815.1,2042.8,1290.8,659.4000000000001,1436.0,1467.5,house block,restaurants,1033.9,369.29999999999995,1792.6999999999998,1927.0
116,116,116,116,39.07072222,-77.12786111,39.06819444,-77.12986111,299.8,1296.1,397.9,1836.3,1800.1,1897.8,1289.6999999999998,618.3000000000001,1532.0,1583.7,house block,restaurants,1103.0,393.6,1791.1999999999998,1782.1
117,117,117,117,39.07072222,-77.12786111,39.06819444,-77.12986111,299.8,1296.1,397.9,1836.3,1800.1,1897.8,1289.6999999999998,618.3000000000001,1532.0,1583.7,house block,restaurants,1103.0,393.6,1791.1999999999998,1782.1
